Restaurant Name,Category,Rating,Cost for Two (in Rupees),Area,Offer,URL
Elixir - Luxury Pearls Drink,Beverages,NA,500,Central Bangalore,NA,https://www.swiggy.com/restaurants/elixir-luxury-pearls-drink-ulsoor-next-to-karam-villa-sivanchetti-gardens-bangalore-369604
Wandercrust,"Pizzas, Italian",NA,350,Central Bangalore,NA,https://www.swiggy.com/restaurants/wandercrust-aga-abdullah-street-richmond-town-bangalore-179474
Ameen cafe,Indian,NA,180,Central Bangalore,NA,https://www.swiggy.com/restaurants/ameen-cafe-central-bangalore-bangalore-412610
The Cloche,"Bakery, Desserts, Beverages",NA,250,Central Bangalore,NA,https://www.swiggy.com/restaurants/the-cloche-central-sivanchetti-gardens-bangalore-261358
water monkey cafe,"Continental, Desserts, Pastas, Beverages, Snacks",NA,500,Central Bangalore,NA,https://www.swiggy.com/restaurants/water-monkey-cafe-central-bangalore-bangalore-465466
Keventers Ice Cream,"Ice Cream, Desserts",NA,300,Central Bangalore,NA,https://www.swiggy.com/restaurants/keventers-ice-cream-garuda-mall-central-bangalore-bangalore-420484
Khichdi Express,North Indian,NA,300,Central Bangalore,NA,https://www.swiggy.com/restaurants/khichdi-express-central-bangalore-bangalore-505868
Cafe by Nature's Basket,"Fast Food, Desserts",NA,200,Central Bangalore,NA,https://www.swiggy.com/restaurants/cafe-by-natures-basket-central-bangalore-bangalore-442012
Hotel Chandrika,"South Indian, North Indian, Chinese, Juices, Chaat, Ice Cream",NA,300,Central Bangalore,NA,https://www.swiggy.com/restaurants/hotel-chandrika-cunnigham-road-vasanth-nagar-bangalore-10844
The Falcon Cafe,"Biryani, Continental, Fast Food, North Indian, South Indian, Beverages",NA,450,Central Bangalore,NA,https://www.swiggy.com/restaurants/the-falcon-cafe-central-bangalore-bangalore-389209
Dindigul Thalappakatti,"Biryani, Barbecue, South Indian, Chinese, North Indian",3.9,650,Central Bangalore,NA,https://www.swiggy.com/restaurants/dindigul-thalappakatti-brigade-road-ashok-nagar-bangalore-251686
Anjappar,"Chettinad, Thalis, Biryani, Chinese, Tandoor, South Indian, North Indian",3.9,400,Central Bangalore,NA,https://www.swiggy.com/restaurants/anjappar-central-ashok-nagar-bangalore-252412
The Flying Squirrel,Cafe,NA,450,Central Bangalore,NA,https://www.swiggy.com/restaurants/the-flying-squirrel-central-ashok-nagar-bangalore-123348
RCB CAFE,"Asian, Italian",NA,700,Central Bangalore,NA,https://www.swiggy.com/restaurants/rcb-cafe-central-bangalore-bangalore-422895
ASEAN - On The Edge,"Asian, Thai, Burmese, Vietnamese, Malaysian",NA,1000,Central Bangalore,NA,https://www.swiggy.com/restaurants/asean-on-the-edge-central-ashok-nagar-bangalore-231617
Holy Doh! Pizza,"Pizzas, Italian",NA,600,Central Bangalore,NA,https://www.swiggy.com/restaurants/holy-doh-pizza-central-bangalore-bangalore-434873
Express Chats and Cafe,"Chaat, Indian, Beverages",NA,170,Central Bangalore,NA,https://www.swiggy.com/restaurants/express-chats-and-cafe-central-bangalore-bangalore-515669
RSS Hotel,Indian,NA,250,Central Bangalore,NA,https://www.swiggy.com/restaurants/rss-hotel-central-bangalore-bangalore-399361
Social,"North Indian, Chinese, Fast Food, Biryani, Pizzas, Salads, Kebabs, Juices, Desse...",NA,500,Central Bangalore,NA,https://www.swiggy.com/restaurants/social-church-street-road-ashok-nagar-bangalore-17118
The Dessert Zone,"Bakery, Desserts, Ice Cream, Beverages",3.3,200,Central Bangalore,NA,https://www.swiggy.com/restaurants/the-dessert-zone-central-bangalore-bangalore-403197
Taste Of Tibet,Chinese,NA,250,Central Bangalore,NA,https://www.swiggy.com/restaurants/taste-of-tibet-central-bangalore-bangalore-410844
Goodness Bakery,"Bakery, Desserts",NA,100,Central Bangalore,NA,https://www.swiggy.com/restaurants/goodness-bakery-central-bangalore-bangalore-409616
Peppy Parathas & Rolls By Chai Point,"Bakery, Combo, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punj...",NA,150,Central Bangalore,NA,https://www.swiggy.com/restaurants/peppy-parathas-and-rolls-by-chai-point-church-st-ashok-nagar-bangalore-481803
Excelsior bakery,Snacks,NA,310,Central Bangalore,NA,https://www.swiggy.com/restaurants/excelsior-bakery-shivajinagar-shivaji-nagar-bangalore-154922
Meghana Foods,"Biryani, Andhra, South Indian, North Indian, Chinese, Seafood",NA,500,Central Bangalore,NA,https://www.swiggy.com/restaurants/meghana-foods-residency-road-ashok-nagar-bangalore-3241
K c kabab corner,"Indian, Biryani",NA,200,Central Bangalore,NA,https://www.swiggy.com/restaurants/k-c-kabab-corner-central-bangalore-bangalore-419423
Royal Restaurant,"Chinese, North Indian, Tandoor , indian",3.8,300,Central Bangalore,NA,https://www.swiggy.com/restaurants/royal-restaurant-central-shivaji-nagar-bangalore-210945
The Empire Juice Shop,"Juices, Ice Cream",NA,200,Central Bangalore,NA,https://www.swiggy.com/restaurants/the-empire-juice-shop-central-ashok-nagar-bangalore-279824
Happy Belly Bakes- Cakes and Desserts,"Desserts, Bakery, Snacks, Keto, Beverages",NA,500,Central Bangalore,NA,https://www.swiggy.com/restaurants/happy-belly-bakes-cakes-and-desserts-primrose-road-ashok-nagar-bangalore-33253
FoodX Restaurant,"Indian, Chinese, Juices",NA,200,Central Bangalore,NA,https://www.swiggy.com/restaurants/foodx-restaurant-central-bangalore-bangalore-422942
Asia Kitchen By Mainland China,"Asian, Chinese, Oriental",NA,850,Central Bangalore,NA,https://www.swiggy.com/restaurants/asia-kitchen-by-mainland-china-church-street-ashok-nagar-bangalore-305776
Hotel Ocea,"Arabian, Chinese, Desserts, North Indian, Seafood, South Indian",NA,300,Central Bangalore,NA,https://www.swiggy.com/restaurants/hotel-ocea-markham-road-central-bangalore-bangalore-52336
Olive Beach,"Italian, Mediterranean, European",NA,3500,Central Bangalore,NA,https://www.swiggy.com/restaurants/olive-beach-union-park-ashok-nagar-bangalore-477654
COASTAL MACHALI CO,"Indian, Asian, Tandoor, Seafood, Chinese, Coastal",NA,1200,Central Bangalore,NA,https://www.swiggy.com/restaurants/coastal-machali-co-central-ashok-nagar-bangalore-369627
Kabab Magic Roll,Snacks,3.5,400,Central Bangalore,NA,https://www.swiggy.com/restaurants/kabab-magic-roll-central-neelasandra-bangalore-301056
Cafe Igniite,"Indian, Chinese, Fast Food, Pizzas",NA,250,Central Bangalore,NA,https://www.swiggy.com/restaurants/cafe-igniite-central-bangalore-bangalore-405486
Kerala Home Food,"Kerala, Biryani, Seafood",NA,250,Central Bangalore,NA,https://www.swiggy.com/restaurants/kerala-home-food-central-bangalore-bangalore-402095
santhanam sweets,Sweets,NA,200,Central Bangalore,NA,https://www.swiggy.com/restaurants/santhanam-sweets-central-shivaji-nagar-bangalore-345097
U.S Pizza,"Pizzas, Fast Food, Beverages, Salads, Pastas, Desserts",NA,400,Central Bangalore,NA,https://www.swiggy.com/restaurants/u-s-pizza-central-shivaji-nagar-bangalore-317646
RCB Bar & Cafe,"Indian, Asian, Continental",NA,750,Central Bangalore,NA,https://www.swiggy.com/restaurants/rcb-bar-and-cafe-central-ashok-nagar-bangalore-358622
Bangalore Shaadi Biryani,"Biryani, Thalis, Fast Food",NA,250,Central Bangalore,NA,https://www.swiggy.com/restaurants/bangalore-shaadi-biryani-central-bangalore-bangalore-410859
Great Indian Khichdi by EatFit,"Home Food, Indian, North Indian, Healthy Food, Snacks, Desserts, Rajasthani, Sou...",NA,200,Central Bangalore,NA,https://www.swiggy.com/restaurants/great-indian-khichdi-by-eatfit-vasantha-nagar-bangalore-440123
Bakery by Foodhall,"Bakery, Desserts, Italian",NA,400,Central Bangalore,NA,https://www.swiggy.com/restaurants/bakery-by-foodhall-central-indiranagar-bangalore-339656
Biggies Burger,"American, Fast Food, Beverages",3.5,300,Central Bangalore,NA,https://www.swiggy.com/restaurants/biggies-burger-central-ashok-nagar-bangalore-273161
Haka,"Chinese, Asian, Seafood",NA,500,Central Bangalore,NA,https://www.swiggy.com/restaurants/haka-church-street-ashok-nagar-bangalore-298363
Midnight Eats,"Continental, North Indian",NA,300,Central Bangalore,NA,https://www.swiggy.com/restaurants/midnight-eats-central-shivaji-nagar-bangalore-206339
Maverick & Farmer Coffee,"American, Pizzas, Snacks, Beverages",NA,800,Central Bangalore,NA,https://www.swiggy.com/restaurants/maverick-and-farmer-coffee-central-bangalore-bangalore-464482
Biryani Blues,"Biryani, Kebabs, Lucknowi, Hyderabadi",NA,400,Central Bangalore,NA,https://www.swiggy.com/restaurants/biryani-blues-central-church-street-bangalore-439141
Truffles,"American, Desserts, Continental, Italian",NA,450,Central Bangalore,NA,https://www.swiggy.com/restaurants/truffles-st-marks-road-ashok-nagar-bangalore-3369
South Parade - The Chancery Hotel,"North Indian, Indian, Pizzas",NA,1000,Central Bangalore,NA,https://www.swiggy.com/restaurants/south-parade-the-chancery-hotel-central-bangalore-bangalore-554015
AL NOORAIN FOODS,"Kebabs, Snacks",NA,400,Central Bangalore,NA,https://www.swiggy.com/restaurants/al-noorain-foods-lingrajapuram-bangalore-523664
Hotel Green Tara,"Chinese, Tibetan",NA,300,Central Bangalore,NA,https://www.swiggy.com/restaurants/hotel-green-tara-central-bangalore-bangalore-439381
The Coconut Tales!,"Biryani, Indian, Thalis, Combo, South Indian",NA,350,Central Bangalore,NA,https://www.swiggy.com/restaurants/the-coconut-tales-central-sampangi-rama-nagar-bangalore-302275
Sherlock's Pub's Pvt Ltd,"Biryani, North Indian, Beverages",NA,400,Central Bangalore,NA,https://www.swiggy.com/restaurants/sherlocks-pubs-pvt-ltd-central-bangalore-bangalore-496287
BIGGUYS WINGERY,"Ice Cream, American, Fast Food, Beverages",NA,400,Central Bangalore,NA,https://www.swiggy.com/restaurants/bigguys-wingery-central-ashok-nagar-bangalore-325015
Robin Brown ice cream,Desserts,NA,250,Central Bangalore,NA,https://www.swiggy.com/restaurants/robin-brown-ice-cream-central-shivaji-nagar-bangalore-69901
PUNJABI FOOD JUNCTION,"Punjabi, Chinese, Tandoor",NA,300,Central Bangalore,NA,https://www.swiggy.com/restaurants/punjabi-food-junction-majestic-ulsoor-bangalore-474132
Sriracha,"Asian, Chinese, Thai, Combo, Japanese, Indonesian, Burmese",3.9,1600,Central Bangalore,NA,https://www.swiggy.com/restaurants/sriracha-central-bangalore-bangalore-307805
Lit Biryani Kitchen,"Biryani, Arabian, Snacks",NA,299,Central Bangalore,NA,https://www.swiggy.com/restaurants/lit-biryani-kitchen-church-st-central-bangalore-bangalore-472193
Sanchez,Mexican,NA,1200,Central Bangalore,NA,https://www.swiggy.com/restaurants/sanchez-central-bangalore-bangalore-307804
IDC KITCHEN,"South Indian, North Indian",NA,200,Central Bangalore,NA,https://www.swiggy.com/restaurants/idc-kitchen-central-bangalore-bangalore-501638
Aubree,"Desserts, Bakery",NA,700,Central Bangalore,NA,https://www.swiggy.com/restaurants/aubree-central-ashok-nagar-bangalore-220772
California Burrito,"Mexican, American, Salads, Continental, Keto, Healthy Food",NA,250,Central Bangalore,NA,https://www.swiggy.com/restaurants/california-burrito-vasanth-nagar-central-banglore-bangalore-30083
The Bar Stock Exchange,"Chinese, North Indian, Continental, Pan-Asian, Thai",NA,800,Central Bangalore,NA,https://www.swiggy.com/restaurants/the-bar-stock-exchange-st-marks-road-ashok-nagar-bangalore-118807
Smoke House Deli,"Italian, Continental, Fast Food, Salads, Healthy Food, Pizzas, Desserts",NA,800,Central Bangalore,NA,https://www.swiggy.com/restaurants/smoke-house-deli-lavelle-road-ashok-nagar-bangalore-10238
India Chai Lounge,Beverages,NA,250,Central Bangalore,NA,https://www.swiggy.com/restaurants/india-chai-lounge-central-bangalore-bangalore-389139
Eggcelent,"Indian, Snacks, North Indian",NA,200,Central Bangalore,NA,https://www.swiggy.com/restaurants/eggcelent-central-bangalore-bangalore-557879
The Great Indian Food Court,"Fast Food, Snacks",NA,300,Central Bangalore,NA,https://www.swiggy.com/restaurants/the-great-indian-food-court-central-bangalore-bangalore-474004
TownFood,"Snacks, Beverages",NA,200,Central Bangalore,NA,https://www.swiggy.com/restaurants/townfood-central-bangalore-bangalore-399154
Shiny Chats,"Snacks, Fast Food",NA,200,Central Bangalore,NA,https://www.swiggy.com/restaurants/shiny-chats-central-bangalore-bangalore-477999
Sunny's,"European, American, Italian, Seafood, Continental, Desserts, Beverages, Pan-Asia...",NA,2000,Central Bangalore,NA,https://www.swiggy.com/restaurants/sunnys-central-bangalore-bangalore-173211
Fresh Pressery Cafe,"Italian, Salads, Healthy Food, French",NA,1000,Central Bangalore,NA,https://www.swiggy.com/restaurants/fresh-pressery-cafe-cbd-ashok-nagar-bangalore-9911
Kari's Easy Veg,"North Indian, Chinese, Fast Food",NA,300,Central Bangalore,NA,https://www.swiggy.com/restaurants/karis-easy-veg-central-bangalore-bangalore-492911
Toscano's Crafted Cakes and Desserts,"Desserts, Bakery",NA,600,Central Bangalore,NA,https://www.swiggy.com/restaurants/toscanos-crafted-cakes-and-desserts-central-ashok-nagar-bangalore-347256
The Rice Bowl,Chinese,3.8,450,Central Bangalore,NA,https://www.swiggy.com/restaurants/the-rice-bowl-lavelle-road-ashok-nagar-bangalore-44238
Mainland China,"Chinese, Asian, Oriental, Thai, Pan-Asian, Seafood, Desserts",NA,850,Central Bangalore,NA,https://www.swiggy.com/restaurants/mainland-china-church-street-central-bangalore-bangalore-5573
Tunday Kababi,"Kebabs, Biryani, Awadhi",NA,250,Central Bangalore,NA,https://www.swiggy.com/restaurants/tunday-kababi-central-bangalore-bangalore-556423
Andhra Chimney,Andhra,NA,300,Central Bangalore,NA,https://www.swiggy.com/restaurants/andhra-chimney-shantinagar-ashok-nagar-bangalore-558962
The Spice Bazaar,North Indian,NA,600,Central Bangalore,NA,https://www.swiggy.com/restaurants/the-spice-bazaar-ashok-nagar-bangalore-45208
Karavali Family Restaurant,"Mangalorean, Seafood, Chinese, Coastal",3.6,200,Central Bangalore,NA,https://www.swiggy.com/restaurants/karavali-family-restaurant-residency-road-ashok-nagar-bangalore-421765
Home Plate by EatFit,"North Indian, Home Food, Healthy Food, Indian, Punjabi, South Indian, Rajasthani...",NA,200,Central Bangalore,NA,https://www.swiggy.com/restaurants/home-plate-by-eatfit-vasantha-nagar-bangalore-440151
Third Wave Coffee,"Beverages, Bakery, Continental",NA,400,Central Bangalore,NA,https://www.swiggy.com/restaurants/third-wave-coffee-church-street-ashok-nagar-bangalore-336364
Mudpipe Cafe,"Mexican, Continental",NA,500,Central Bangalore,NA,https://www.swiggy.com/restaurants/mudpipe-cafe-cunningham-road-vasanth-nagar-bangalore-14842
LUDO,"Fast Food, Chinese, Beverages",NA,300,Central Bangalore,NA,https://www.swiggy.com/restaurants/ludo-central-bangalore-bangalore-453336
Farzi Cafe,"North Indian, Tandoor, Punjabi",NA,600,Central Bangalore,NA,https://www.swiggy.com/restaurants/farzi-cafe-2nd-ub-city-ashok-nagar-bangalore-302257
Bo Tai,"Asian, Chinese, Pan-Asian, Thai, Oriental",NA,600,Central Bangalore,NA,https://www.swiggy.com/restaurants/bo-tai-shanthala-nagar-central-bangalore-bangalore-302256
Edo - ITC Gardenia,"Japanese, Asian",NA,1000,Central Bangalore,NA,https://www.swiggy.com/restaurants/edo-itc-gardenia-residency-road-ashok-nagar-bangalore-331909
Matsuri - The Chancery Hotel,"Japanese, Chinese",NA,1800,Central Bangalore,NA,https://www.swiggy.com/restaurants/matsuri-the-chancery-hotel-central-bangalore-bangalore-554191
Shezan,"Mughlai, North Indian, Chinese, Continental",NA,600,Central Bangalore,NA,https://www.swiggy.com/restaurants/shezan-cunnigham-road-vasanth-nagar-bangalore-5582
EUROTRIP - EUROPEAN,"Pizzas, Fast Food",NA,600,Central Bangalore,NA,https://www.swiggy.com/restaurants/eurotrip-european-central-ashok-nagar-bangalore-314323
Istah Shawarma,"Arabian, Lebanese, Snacks, Beverages",NA,250,Central Bangalore,NA,https://www.swiggy.com/restaurants/istah-shawarma-central-bangalore-bangalore-503961
Anand Sweets and Savouries,"Sweets, Chaat, Snacks, Desserts, North Indian",NA,200,Central Bangalore,NA,https://www.swiggy.com/restaurants/anand-sweets-and-savouries-commercial-street-shivaji-nagar-bangalore-15905
deli2go,Snacks,NA,300,Central Bangalore,NA,https://www.swiggy.com/restaurants/deli2go-central-bangalore-bangalore-337566
KABAB BIRYANI CORNER,"Indian, Tandoor, Chinese",NA,200,Central Bangalore,NA,https://www.swiggy.com/restaurants/kabab-biryani-corner-central-neelasandra-bangalore-298791
Lifetree,"Continental, Indian, Beverages, Desserts, Biryani",NA,350,Central Bangalore,NA,https://www.swiggy.com/restaurants/lifetree-langford-garden-richmond-road-langford-gardens-bangalore-195786
Tree Tops Bar & Kitchen,"Indian, Fast Food, Pastas, Desserts",NA,800,Central Bangalore,NA,https://www.swiggy.com/restaurants/tree-tops-bar-and-kitchen-central-ashok-nagar-bangalore-337687
Choi Choi Momos,"Chinese, Indian",NA,200,Central Bangalore,NA,https://www.swiggy.com/restaurants/choi-choi-momos-central-bangalore-bangalore-382520
RS Shiv Sagar-Commercial Street,"North Indian, Chinese, Jain, South Indian, Desserts, Continental, Mexican, Bever...",NA,250,Central Bangalore,NA,https://www.swiggy.com/restaurants/rs-shiv-sagar-commercial-street-commercial-street-shivaji-nagar-bangalore-34662
Hokart - Bangalore 99 Variety dosa,"Street Food, Snacks, South Indian",NA,150,Central Bangalore,NA,https://www.swiggy.com/restaurants/hokart-bangalore-99-variety-dosa-central-shivaji-nagar-bangalore-367007
Kentacky Chicken Corner,"North Indian, Andhra, Seafood, Indian",NA,400,Central Bangalore,NA,https://www.swiggy.com/restaurants/kentacky-chicken-corner-central-bangalore-bangalore-451468
DESI VADA CAFE,Indian,NA,300,Central Bangalore,NA,https://www.swiggy.com/restaurants/desi-vada-cafe-central-vasanth-nagar-bangalore-360854
Misu,"Asian, Chinese, Vietnamese, Malaysian, Sushi, Singaporean, Desserts",NA,1300,Central Bangalore,NA,https://www.swiggy.com/restaurants/misu-central-bangalore-bangalore-29063
Hotel Tom's Restaurant,"Mangalorean, Biryani, Seafood, Chinese, North Indian, Desserts, South Indian, Co...",NA,400,Central Bangalore,NA,https://www.swiggy.com/restaurants/hotel-toms-restaurant-brigade-road-ashok-nagar-bangalore-10212
NYX Lounge Cafe,Thai,NA,700,Central Bangalore,NA,https://www.swiggy.com/restaurants/nyx-lounge-cafe-central-bangalore-bangalore-563077
Al-Pizzalicious,"Italian-American, Pizzas, Burgers, Snacks",NA,250,Central Bangalore,NA,https://www.swiggy.com/restaurants/al-pizzalicious-central-bangalore-bangalore-407104
CAFE RUSTICO,"Beverages, Snacks, Chinese, Continental",NA,900,Central Bangalore,NA,https://www.swiggy.com/restaurants/cafe-rustico-central-bangalore-bangalore-407103
Dolci Desserts,"Desserts, Bakery, Pizzas, Salads, Pastas",NA,600,Central Bangalore,NA,https://www.swiggy.com/restaurants/dolci-desserts-cunnigham-road-vasanth-nagar-bangalore-5596
Kitchens of China,"Chinese, Thai, Asian, Pan-Asian, Oriental, Desserts, Beverages",3.9,450,Central Bangalore,NA,https://www.swiggy.com/restaurants/kitchens-of-china-central-bangalore-bangalore-496253
Cantan,"Chinese, Asian, Vietnamese, Pan-Asian, Seafood, Desserts",NA,1000,Central Bangalore,NA,https://www.swiggy.com/restaurants/cantan-cantan-lavelle-road-ashok-nagar-bangalore-289969
Chai,"South Indian, Desserts, Juices, Ice Cream, Continental, Beverages, Snacks",NA,99,Central Bangalore,NA,https://www.swiggy.com/restaurants/chai-central-ashok-nagar-bangalore-370776
Aqua,"Continental, American, Italian",NA,700,Central Bangalore,NA,https://www.swiggy.com/restaurants/aqua-mg-road-sivanchetti-gardens-bangalore-30178
TIMES SQUARE CAFE,"Desserts, Combo, Beverages",NA,300,Central Bangalore,NA,https://www.swiggy.com/restaurants/times-square-cafe-ashok-nagar-bangalore-418785
Easy Bites by Hotel Empire,"Snacks, Fast Food, Beverages",3.9,150,Central Bangalore,NA,https://www.swiggy.com/restaurants/easy-bites-by-hotel-empire-central-ashok-nagar-bangalore-279735
Juice Junction,Beverages,NA,100,Central Bangalore,NA,https://www.swiggy.com/restaurants/juice-junction-jayanagar-bangalore-359521
Waffle Magic,"Desserts, Beverages",NA,200,Central Bangalore,NA,https://www.swiggy.com/restaurants/waffle-magic-central-shivaji-nagar-bangalore-257843
Asian Hawker,"Chinese, Pan-Asian, Desserts, Beverages",NA,350,Central Bangalore,NA,https://www.swiggy.com/restaurants/asian-hawker-central-vasanth-nagar-bangalore-254452
Savera Cafe,"Snacks, Beverages",NA,100,Central Bangalore,NA,https://www.swiggy.com/restaurants/savera-cafe-shivajinagar-bangalore-382755
Eden Park,"North Indian, Chinese, Seafood, Andhra, Biryani, Desserts, Jain, Mughlai, South ...",NA,1000,Central Bangalore,NA,https://www.swiggy.com/restaurants/eden-park-central-shivaji-nagar-bangalore-29070
CAFE PARDONE,"Italian, Desserts, Pizzas, American, Beverages",NA,500,Central Bangalore,NA,https://www.swiggy.com/restaurants/cafe-pardone-central-ashok-nagar-bangalore-305622
BOSS Burger,"American, Continental",NA,500,Central Bangalore,NA,https://www.swiggy.com/restaurants/boss-burger-ashok-nagar-bangalore-234701
The Fatty Bao,"Asian, Japanese, Chinese",NA,1000,Central Bangalore,NA,https://www.swiggy.com/restaurants/the-fatty-bao-tfb-lavelle-road-central-bangalore-bangalore-289970
Shyvan Fast Food,"North Indian, Chinese",NA,200,Central Bangalore,NA,https://www.swiggy.com/restaurants/shyvan-fast-food-k-h-road-circle-langford-gardens-bangalore-165917
Tandoor Restaurant,North Indian,NA,1400,Central Bangalore,NA,https://www.swiggy.com/restaurants/tandoor-restaurant-mg-road-ashok-nagar-bangalore-4036
The Brahmins Khanavali,South Indian,NA,200,Central Bangalore,NA,https://www.swiggy.com/restaurants/the-brahmins-khanavali-st-marks-road-ashok-nagar-bangalore-145074
PAAKASHALA,"Chinese, Tandoor, Salads, North Indian",NA,300,Central Bangalore,NA,https://www.swiggy.com/restaurants/paakashala-central-bangalore-bangalore-500349
Starbucks Coffee,Beverages,NA,400,Central Bangalore,NA,https://www.swiggy.com/restaurants/starbucks-coffee-lavelle-road-ashok-nagar-bangalore-124178
Deccan Spices,"North Indian, Chinese, Fast Food",NA,500,Central Bangalore,NA,https://www.swiggy.com/restaurants/deccan-spices-central-bangalore-bangalore-484135
Pasta Street,"Italian, Pizzas, Pastas, Desserts, Beverages",NA,900,Central Bangalore,NA,https://www.swiggy.com/restaurants/pasta-street-chicago-avenue-vasanth-nagar-bangalore-19361
Go Native,"Healthy Food, Jain, North Indian, South Indian",NA,600,Central Bangalore,NA,https://www.swiggy.com/restaurants/go-native-central-ashok-nagar-bangalore-219460
Hatti Kaapi - Coffee and more,"Beverages, South Indian, Snacks, Combo, Bakery",NA,120,Central Bangalore,NA,https://www.swiggy.com/restaurants/hatti-kaapi-coffee-and-more-central-sivanchetti-gardens-bangalore-34766
ITC Hotels - Biryani & Pulao Collection,"Biryani, North Indian, Desserts",NA,1000,Central Bangalore,NA,https://www.swiggy.com/restaurants/itc-hotels-biryani-and-pulao-collection-central-ashok-nagar-bangalore-335002
New Kudla,"Chinese, North Indian, Seafood, South Indian",NA,300,Central Bangalore,NA,https://www.swiggy.com/restaurants/new-kudla-central-bangalore-jogupalya-bangalore-54450
Ghee and Turmeric,"North Indian, Tandoor, Punjabi, Beverages, Desserts, Mughlai",NA,500,Central Bangalore,NA,https://www.swiggy.com/restaurants/ghee-and-turmeric-cunningham-road-bangalore-442538
The Only Place,"Continental, Steakhouse, American, Italian, Beverages, Desserts",NA,1000,Central Bangalore,NA,https://www.swiggy.com/restaurants/the-only-place-museum-road-ashok-nagar-bangalore-5358
Munchies,Fast Food,NA,300,Central Bangalore,NA,https://www.swiggy.com/restaurants/munchies-richmond-ashok-nagar-bangalore-5359
Anupams Coast II Coast,"Mangalorean, Chinese, North Indian, Mughlai, Punjabi, Awadhi",NA,1200,Central Bangalore,NA,https://www.swiggy.com/restaurants/anupams-coast-ii-coast-church-street-ashok-nagar-bangalore-93802
Wow! China,"Tibetan, Chinese, Asian, Snacks, Continental, Desserts, Beverages",3.8,300,Central Bangalore,NA,https://www.swiggy.com/restaurants/wow-china-church-street-bangalore-264240
Pappu B C,Indian,NA,400,Central Bangalore,NA,https://www.swiggy.com/restaurants/pappu-b-c-starbucks-cbd-shivaji-nagar-bangalore-159243
GOURMET ON THE GO,"South Indian, North Indian",NA,250,Central Bangalore,NA,https://www.swiggy.com/restaurants/gourmet-on-the-go-central-bangalore-bangalore-428120
Beijing Bites,Chinese,NA,450,Central Bangalore,NA,https://www.swiggy.com/restaurants/beijing-bites-richmond-road-ashok-nagar-bangalore-8766
Sri Udupi Park,"North Indian, South Indian, Chinese, Chaat, Beverages",NA,200,Central Bangalore,NA,https://www.swiggy.com/restaurants/sri-udupi-park-residency-road-ashok-nagar-bangalore-4046
Sattuani,"North Indian, Chinese",NA,200,Central Bangalore,NA,https://www.swiggy.com/restaurants/sattuani-ashok-nagar-bangalore-158019
Palmgrove Ballal Residency,"Chinese, Coastal, Desserts, Jain, North Indian, South Indian",NA,400,Central Bangalore,NA,https://www.swiggy.com/restaurants/palmgrove-ballal-residency-residency-road-ashok-nagar-bangalore-53490
Mani's Dum Biryani,Biryani,NA,499,Central Bangalore,NA,https://www.swiggy.com/restaurants/manis-dum-biryani-haudin-road-sivanchetti-gardens-bangalore-30034
ONLY BREADS,"Bakery, Fast Food",NA,180,Central Bangalore,NA,https://www.swiggy.com/restaurants/only-breads-central-bangalore-bangalore-482190
Green Onion Chinese,Chinese,NA,450,Central Bangalore,NA,https://www.swiggy.com/restaurants/green-onion-chinese-residency-road-mg-road-ashok-nagar-bangalore-117871
Royal Orchid Central,"Italian, European",NA,500,Central Bangalore,NA,https://www.swiggy.com/restaurants/royal-orchid-central-mg-road-sivanchetti-gardens-bangalore-4037
Corner House Ice Cream,"Ice Cream, Desserts",NA,250,Central Bangalore,NA,https://www.swiggy.com/restaurants/corner-house-ice-cream-residency-road-ashok-nagar-bangalore-5247
The Tao Terraces,"Chinese, Pan-Asian, Thai",NA,1500,Central Bangalore,NA,https://www.swiggy.com/restaurants/the-tao-terraces-central-bangalore-bangalore-107719
Badmaash,"North Indian, Biryani, Indian, Punjabi, Kebabs, Mughlai, Fast Food, Hyderabadi, ...",NA,600,Central Bangalore,NA,https://www.swiggy.com/restaurants/badmaash-central-ashok-nagar-bangalore-355181
Dhaba Co.,North Indian,NA,650,Central Bangalore,NA,https://www.swiggy.com/restaurants/dhaba-co-central-ashok-nagar-bangalore-326762
Kitchens of Punjab,"Punjabi, North Indian, Thalis, Desserts, Beverages",3.7,500,Central Bangalore,NA,https://www.swiggy.com/restaurants/kitchens-of-punjab-central-bangalore-bangalore-496227
Grand Foodies Restaurant,"Street Food, Indian, Chinese, Biryani",NA,220,Central Bangalore,NA,https://www.swiggy.com/restaurants/grand-foodies-restaurant-central-bangalore-bangalore-373731
13th Floor,"North Indian, Thai, Asian, Burmese, Vietnamese, Malaysian",NA,2000,Central Bangalore,NA,https://www.swiggy.com/restaurants/13th-floor-central-bangalore-bangalore-290347
INDIAN PESHWARI CUISINES,"North Indian, Desserts",NA,550,Central Bangalore,NA,https://www.swiggy.com/restaurants/indian-peshwari-cuisines-central-bangalore-bangalore-440416
Kabab Korner,"North Indian, Chinese, Fast Food",NA,500,Central Bangalore,NA,https://www.swiggy.com/restaurants/kabab-korner-st-marks-road-ashok-nagar-bangalore-6115
Konark Veg Resturant,"Indian, Chinese",NA,600,Central Bangalore,NA,https://www.swiggy.com/restaurants/konark-veg-resturant-central-bangalore-bangalore-466923
