Restaurant Name,Category,Rating,Cost for Two (in Rupees),Area,Offer,URL
GOWHEY- HEALTHY DESSERT COMPANY,"Ice Cream, Healthy Food, Desserts",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/gowhey-healthy-dessert-company-arekere-bangalore-446511
SLV lassi corner,Beverages,NA,60,Arekere,NA,https://www.swiggy.com/restaurants/slv-lassi-corner-arekere-bangalore-444333
Chavadi,"Continental, Pizzas, Mangalorean",NA,450,Arekere,NA,https://www.swiggy.com/restaurants/chavadi-off-bannergatta-road-bilekahalli-bangalore-43207
The Brooklyn Creamery - Healthy Ice Cream,"Desserts, Ice Cream, Healthy Food",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/the-brooklyn-creamery-healthy-ice-cream-bg-arkere-road-fc-arekere-bangalore-376319
Amul Ice Cream Parlour (DLF Main Road),"Desserts, Ice Cream, Beverages",NA,99,Arekere,NA,https://www.swiggy.com/restaurants/amul-ice-cream-parlour-dlf-main-road-little-elly-school-akshaya-nagar-dlf-main-road-yelanhalli-akshayanagar-bangalore-168123
Sandwich Guru,"Snacks, Beverages",NA,150,Arekere,NA,https://www.swiggy.com/restaurants/sandwich-guru-arekere-panduranga-nagar-bangalore-358900
Onfly Biryani,"Biryani, Chinese, Snacks",NA,400,Arekere,NA,https://www.swiggy.com/restaurants/onfly-biryani-arekere-bangalore-536571
Box Asia - Chinese and More,"Chinese, Continental, Fast Food",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/box-asia-chinese-and-more-arekere-bangalore-504721
Juice and Lassi,Beverages,NA,140,Arekere,NA,https://www.swiggy.com/restaurants/juice-and-lassi-arekere-akshayanagar-bangalore-365439
ANDHRA KITCHEN,Chinese,NA,250,Arekere,NA,https://www.swiggy.com/restaurants/andhra-kitchen-btm-bangalore-547450
HOTEL AMULYA VEG & NON VEG,"Indian, Biryani",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/hotel-amulya-veg-and-non-veg-garvebhavi-palya-kudlu-gate-bangalore-385386
Mealful Rolls - Meals in a Roll,"Fast Food, North Indian, Desserts",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/mealful-rolls-meals-in-a-roll-arakere-mico-layout-main-road-panduranga-nagar-bangalore-274762
Ishta Cafe - Millet Pizzas,"Pizzas, Salads, Beverages, Healthy Food",3.7,400,Arekere,NA,https://www.swiggy.com/restaurants/ishta-cafe-millet-pizzas-arekere-akshayanagar-bangalore-337071
Swad E Punjabi,Indian,NA,200,Arekere,NA,https://www.swiggy.com/restaurants/swad-e-punjabi-arekere-bangalore-328248
Paratha Envy,North Indian,NA,249,Arekere,NA,https://www.swiggy.com/restaurants/paratha-envy-arekere-j-p-nagar-bangalore-366403
Meha's Biriyani,"Biryani, Indian, Chinese",NA,380,Arekere,NA,https://www.swiggy.com/restaurants/mehas-biriyani-arekere-bangalore-515604
Green Cravings,"Healthy Food, Continental, Keto, Indian, Salads",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/green-cravings-5th-phase-arekere-bangalore-251667
New Udupi Veg,"South Indian, Chinese, Chaat, North Indian",3.7,200,Arekere,NA,https://www.swiggy.com/restaurants/new-udupi-veg-arekere-bangalore-455214
HOTEL RAYAN AMBUR DUM BIRIYANI,"Biryani, South Indian, Indian",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/hotel-rayan-ambur-dum-biriyani-arekere-bangalore-545152
Suchi Ruchi Food Point,"Snacks, South Indian, Indian",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/suchi-ruchi-food-point-arekere-bangalore-493853
Veggie Food World,Fast Food,NA,200,Arekere,NA,https://www.swiggy.com/restaurants/veggie-food-world-arekere-bangalore-328249
K R NATI STYLE HOTEL,"North Indian, Biryani, South Indian",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/k-r-nati-style-hotel-jayanagar-bangalore-483802
GUNDU PALAV SGS NON VEG - ORIGINAL,Indian,3.4,200,Arekere,NA,https://www.swiggy.com/restaurants/gundu-palav-sgs-non-veg-original-arekere-panduranga-nagar-bangalore-42460
Kundapura Coffee,Beverages,NA,200,Arekere,NA,https://www.swiggy.com/restaurants/kundapura-coffee-arekere-bangalore-562758
Ice Cream Palace (Cool Zone),Desserts,NA,100,Arekere,NA,https://www.swiggy.com/restaurants/ice-cream-palace-cool-zone-hulimavu-bangalore-354675
Dindigul Thalappakatti,"Biryani, Barbecue, Chinese, North Indian, South Indian",3.8,650,Arekere,NA,https://www.swiggy.com/restaurants/dindigul-thalappakatti-arekere-bangalore-470728
Biryanis by ITC Master Chef,"Biryani, Kebabs",NA,650,Arekere,NA,https://www.swiggy.com/restaurants/biryanis-by-itc-master-chef-jp-nagar-7th-phase-arekere-bangalore-558458
LIQUID LAMA,Beverages,NA,300,Arekere,NA,https://www.swiggy.com/restaurants/liquid-lama-arekere-bangalore-444240
Prashanth Gowdru Badoota,"Indian, Tandoor, Chinese",NA,400,Arekere,NA,https://www.swiggy.com/restaurants/prashanth-gowdru-badoota-arekere-bangalore-377677
KFC,"American, Snacks",3.9,400,Arekere,NA,https://www.swiggy.com/restaurants/kfc-armoor-arekere-bangalore-405075
Green Mirchi,"Indian, North Indian",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/green-mirchi-arekere-hulimavu-bangalore-351048
Soup Station,"Continental, Healthy Food",3.8,300,Arekere,NA,https://www.swiggy.com/restaurants/soup-station-arekere-j-p-nagar-bangalore-264718
The Dessert Zone,"Bakery, Desserts, Ice Cream, Beverages",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/the-dessert-zone-banerghatta-road-arekere-bangalore-238580
GURU PALACE,"Chinese, Indian, Tandoor, Seafood, Biryani, Punjabi",NA,500,Arekere,NA,https://www.swiggy.com/restaurants/guru-palace-arekere-royal-meenaksi-mall-bangalore-379857
Chaatimes,"Chaat, Beverages",NA,150,Arekere,NA,https://www.swiggy.com/restaurants/chaatimes-bhannerghatta-road-arekere-bangalore-22611
